Question,Correct Passage,Base Rank,Fine-tuned Rank,Base Top1 Score,Fine-tuned Top1 Score,Base Top1 Passage,Fine-tuned Top1 Passage
कारनेशन की व्यावसायिक खेती भारत में किन स्थानों पर की जाती है?,"कारनेशन के फूलों की खेती पुष्प जगत में कारनेशन के महत्व के बारे जानकारी क्या है ? फूलों में कारनेशन बहुत ही विशिष्ट स्थान रखता ही। इसकी कलमों व खूबसूरत कटे फूलों का व्यवसाय देश-विदेश में अच्छी तरह स्थापित है और व्यावसायिक स्तर पर अगर देखा जाए तो कारनेशन विश्व के 10 प्रमुखतम फूलों में एक है। हमारे देश में कारनेशन की व्यवसायिक खेती किन-जिन स्थानों की की जाती है व झारखण्ड में इसकी खेती की क्या संभावनाएं है? हमारे देश में कारनेशन को व्यवसायिक स्तर नासिक, पुणे, बैंगलोर, कोयम्बटूर, दिल्ल्ली, यू.पी. पंजाब, कश्मीर व् हिमाचल प्रदेश में उगाया जाता है। जहाँ तक प्रश्न है झारखण्ड में इसकी कहती की संभावनाओं का तो जलवायु की दृष्टि से खासतौर पर रांची के आसपास के इलाकों की उपोष्ण कारनेशन की सफलतापूर्वक खेती के लिए बहुत ही उपयुक्त है। इसकी उपयुक्त जलवायु के चलते किसान भाई चाहे तो कारनेशन की अच्छी पैदावार ले सकते हैं। कारनेशन के लिए उपयुक्त मिट्टी का चयन कैसे किया जाए व इसे गलाने का तरीका क्या है? कारनेशन की खेती के लिए बलुई-दोमट मिट्टी जिसका पी. मान 6 से 7 हो जिसमें वायु संचार व जल निकासी का उचित प्रबंध हो बहुत ही उपयुक्त होती है।",Not in Top10,1,0.9960571527481079,0.8244447708129883,"मध्यप्रदेश में इसकी खेती लगभग 87हजार हेक्टेयर भूमि में की जाती है तथा 30हजार टन उत्पादन मिलता है। प्रदेश में देश के अन्य रामतिल उत्पादक प्रदेशों की तुलना से औसत उपज अत्यंत कम (343 किलोग्राम प्रति हेक्टेयर) है। मध्यप्रदेश में इसकी खेती मुख्य रूप से छिंदवाड़ा, बैतूल, मंडला, डिन्डौरी, कटनी, उमरिया एवं शहडोल जिलों में की जाती है। रामतिल के बीजों में 38-43 प्रतिशत तेल एवं 20से30प्रतिशत प्रोटीन की मात्रा पायी जाती है। रामतिल की फसल को नमी के अभाव में अथवा विषम परिस्थितियों में अनुपजाऊ एवं कम उर्वराशक्ति वाली भूमि में भी उगाया जा सकता है। फसल भूमि का कटाव रोकती है। रामतिल की फसल के बाद उगाई जाने वाली फसल की उपज अच्छी आती है। मध्यप्रदेश में इसकी काश्त आदिवासियों द्वारा अधिकतर ढालू नुमा जनजातीय क्षेत्रांतर्गत सीमांत एवं उपसीमांत भूमि पर की जाती है। इसके अतिरिक्त रामतिल की खेती असिंचित अवस्थाओं में वर्षा आधारित परिस्थितियों में बिना आदानों के सीमित निवेश के साथ की जाती है जो इसकी उत्पादकता को प्रभावित करते है।","कारनेशन के फूलों की खेती पुष्प जगत में कारनेशन के महत्व के बारे जानकारी क्या है ? फूलों में कारनेशन बहुत ही विशिष्ट स्थान रखता ही। इसकी कलमों व खूबसूरत कटे फूलों का व्यवसाय देश-विदेश में अच्छी तरह स्थापित है और व्यावसायिक स्तर पर अगर देखा जाए तो कारनेशन विश्व के 10 प्रमुखतम फूलों में एक है। हमारे देश में कारनेशन की व्यवसायिक खेती किन-जिन स्थानों की की जाती है व झारखण्ड में इसकी खेती की क्या संभावनाएं है? हमारे देश में कारनेशन को व्यवसायिक स्तर नासिक, पुणे, बैंगलोर, कोयम्बटूर, दिल्ल्ली, यू.पी. पंजाब, कश्मीर व् हिमाचल प्रदेश में उगाया जाता है। जहाँ तक प्रश्न है झारखण्ड में इसकी कहती की संभावनाओं का तो जलवायु की दृष्टि से खासतौर पर रांची के आसपास के इलाकों की उपोष्ण कारनेशन की सफलतापूर्वक खेती के लिए बहुत ही उपयुक्त है। इसकी उपयुक्त जलवायु के चलते किसान भाई चाहे तो कारनेशन की अच्छी पैदावार ले सकते हैं। कारनेशन के लिए उपयुक्त मिट्टी का चयन कैसे किया जाए व इसे गलाने का तरीका क्या है? कारनेशन की खेती के लिए बलुई-दोमट मिट्टी जिसका पी. मान 6 से 7 हो जिसमें वायु संचार व जल निकासी का उचित प्रबंध हो बहुत ही उपयुक्त होती है।"
कारनेशन की खेती के लिए किस प्रकार की मिट्टी और पी. मान उपयुक्त होता है?,"कारनेशन के फूलों की खेती पुष्प जगत में कारनेशन के महत्व के बारे जानकारी क्या है ? फूलों में कारनेशन बहुत ही विशिष्ट स्थान रखता ही। इसकी कलमों व खूबसूरत कटे फूलों का व्यवसाय देश-विदेश में अच्छी तरह स्थापित है और व्यावसायिक स्तर पर अगर देखा जाए तो कारनेशन विश्व के 10 प्रमुखतम फूलों में एक है। हमारे देश में कारनेशन की व्यवसायिक खेती किन-जिन स्थानों की की जाती है व झारखण्ड में इसकी खेती की क्या संभावनाएं है? हमारे देश में कारनेशन को व्यवसायिक स्तर नासिक, पुणे, बैंगलोर, कोयम्बटूर, दिल्ल्ली, यू.पी. पंजाब, कश्मीर व् हिमाचल प्रदेश में उगाया जाता है। जहाँ तक प्रश्न है झारखण्ड में इसकी कहती की संभावनाओं का तो जलवायु की दृष्टि से खासतौर पर रांची के आसपास के इलाकों की उपोष्ण कारनेशन की सफलतापूर्वक खेती के लिए बहुत ही उपयुक्त है। इसकी उपयुक्त जलवायु के चलते किसान भाई चाहे तो कारनेशन की अच्छी पैदावार ले सकते हैं। कारनेशन के लिए उपयुक्त मिट्टी का चयन कैसे किया जाए व इसे गलाने का तरीका क्या है? कारनेशन की खेती के लिए बलुई-दोमट मिट्टी जिसका पी. मान 6 से 7 हो जिसमें वायु संचार व जल निकासी का उचित प्रबंध हो बहुत ही उपयुक्त होती है।",Not in Top10,1,0.9967279434204102,0.8803015947341919,"अक्टूबर माह में बोई जाने वाली फसलों के बारे में जानकारी दी गई है | गेहूँ गेहूँ की समय पर बुआई के लिए (सिंचित क्षेत्र): के 9107 (देवा), एच.यू.डब्लू-468 बिरसा गेहूँ 3 समय पर बुआई के लिए (असिंचित क्षेत्र): के 9107 (देवा) देर से बुआई के लिए (सिंचित क्षेत्र): एच.यू. डब्लू – 234, डी.व्ही.डब्लू 14 की अनुशंषा की जाती है | जैट्रोफा कीट नियंत्रण: कोमल पौधों में कटुवा (सुंडी) तने को काट सकता है | इसके लिए लिन्डेन या फ़ॉलीडॉल धूल का सूखा पाउडर भूरकाव से नियंत्रित किया जा सकता है | माइट के प्रकोप से बचाव के लिए 1 मि.ली.","कारनेशन के फूलों की खेती पुष्प जगत में कारनेशन के महत्व के बारे जानकारी क्या है ? फूलों में कारनेशन बहुत ही विशिष्ट स्थान रखता ही। इसकी कलमों व खूबसूरत कटे फूलों का व्यवसाय देश-विदेश में अच्छी तरह स्थापित है और व्यावसायिक स्तर पर अगर देखा जाए तो कारनेशन विश्व के 10 प्रमुखतम फूलों में एक है। हमारे देश में कारनेशन की व्यवसायिक खेती किन-जिन स्थानों की की जाती है व झारखण्ड में इसकी खेती की क्या संभावनाएं है? हमारे देश में कारनेशन को व्यवसायिक स्तर नासिक, पुणे, बैंगलोर, कोयम्बटूर, दिल्ल्ली, यू.पी. पंजाब, कश्मीर व् हिमाचल प्रदेश में उगाया जाता है। जहाँ तक प्रश्न है झारखण्ड में इसकी कहती की संभावनाओं का तो जलवायु की दृष्टि से खासतौर पर रांची के आसपास के इलाकों की उपोष्ण कारनेशन की सफलतापूर्वक खेती के लिए बहुत ही उपयुक्त है। इसकी उपयुक्त जलवायु के चलते किसान भाई चाहे तो कारनेशन की अच्छी पैदावार ले सकते हैं। कारनेशन के लिए उपयुक्त मिट्टी का चयन कैसे किया जाए व इसे गलाने का तरीका क्या है? कारनेशन की खेती के लिए बलुई-दोमट मिट्टी जिसका पी. मान 6 से 7 हो जिसमें वायु संचार व जल निकासी का उचित प्रबंध हो बहुत ही उपयुक्त होती है।"
कारनेशन की खेती में पिचिंग क्या होती है और इसका क्या महत्व है?,"प्रति हेकटेयर देना बहुत जरूरी है। की पूरी मात्रा और यूरिया की आधी मात्रा खेत तैयार करते वक्त व यूरिया की आधी मात्रा पौधा लगाने के एक महीने बाद देनी चाहिए। कारनेशन में पिचिंग व स्टेकिंग जरुर करनी चाहिए तो हम जानना चाहेंगे कि पिचिंग व स्टेकिंग आखिर है क्या? कारनेशन की खेती में पिचिंग व स्टेकिंग का काफी महत्व है। पिंचिग यानि कि पौधों को लगाएँ के चार से पांच सप्ताह बाद जमीन से चार-पांच पत्तियाँ छोड़ने के बाद ऊपर से पौधे को नोंच दिया जाता है, इससे नीची गई जगह से कई टहनियां निकल आती हैं, जिससे कि पैदावार बढ़ जाती है। इन टहनियों को सीधा रखने के लिए स्टेकिंग यानि सहारे की जरूरत पड़ती है। स्केटिंग के ली हम सुतली, नायलोन की रस्सी या गैलवनाइज्ड मेटल वायर का इस्तेमाल करते हैं। यदि किसान भाई इन सारी बातों का अनुसरण करे तो वे कितना लाभ उठा सकते हैं? किसान बाही अगर इन सारी बातों को ठीक से अनुसरण करेंगे तो प्रति हेक्टेयर तकरीबन 7-8 रुपया का शुद्ध लाभ उठा सकते हैं।",1,2,0.9957921504974365,0.7407552003860474,"प्रति हेकटेयर देना बहुत जरूरी है। की पूरी मात्रा और यूरिया की आधी मात्रा खेत तैयार करते वक्त व यूरिया की आधी मात्रा पौधा लगाने के एक महीने बाद देनी चाहिए। कारनेशन में पिचिंग व स्टेकिंग जरुर करनी चाहिए तो हम जानना चाहेंगे कि पिचिंग व स्टेकिंग आखिर है क्या? कारनेशन की खेती में पिचिंग व स्टेकिंग का काफी महत्व है। पिंचिग यानि कि पौधों को लगाएँ के चार से पांच सप्ताह बाद जमीन से चार-पांच पत्तियाँ छोड़ने के बाद ऊपर से पौधे को नोंच दिया जाता है, इससे नीची गई जगह से कई टहनियां निकल आती हैं, जिससे कि पैदावार बढ़ जाती है। इन टहनियों को सीधा रखने के लिए स्टेकिंग यानि सहारे की जरूरत पड़ती है। स्केटिंग के ली हम सुतली, नायलोन की रस्सी या गैलवनाइज्ड मेटल वायर का इस्तेमाल करते हैं। यदि किसान भाई इन सारी बातों का अनुसरण करे तो वे कितना लाभ उठा सकते हैं? किसान बाही अगर इन सारी बातों को ठीक से अनुसरण करेंगे तो प्रति हेक्टेयर तकरीबन 7-8 रुपया का शुद्ध लाभ उठा सकते हैं।","कारनेशन के फूलों की खेती पुष्प जगत में कारनेशन के महत्व के बारे जानकारी क्या है ? फूलों में कारनेशन बहुत ही विशिष्ट स्थान रखता ही। इसकी कलमों व खूबसूरत कटे फूलों का व्यवसाय देश-विदेश में अच्छी तरह स्थापित है और व्यावसायिक स्तर पर अगर देखा जाए तो कारनेशन विश्व के 10 प्रमुखतम फूलों में एक है। हमारे देश में कारनेशन की व्यवसायिक खेती किन-जिन स्थानों की की जाती है व झारखण्ड में इसकी खेती की क्या संभावनाएं है? हमारे देश में कारनेशन को व्यवसायिक स्तर नासिक, पुणे, बैंगलोर, कोयम्बटूर, दिल्ल्ली, यू.पी. पंजाब, कश्मीर व् हिमाचल प्रदेश में उगाया जाता है। जहाँ तक प्रश्न है झारखण्ड में इसकी कहती की संभावनाओं का तो जलवायु की दृष्टि से खासतौर पर रांची के आसपास के इलाकों की उपोष्ण कारनेशन की सफलतापूर्वक खेती के लिए बहुत ही उपयुक्त है। इसकी उपयुक्त जलवायु के चलते किसान भाई चाहे तो कारनेशन की अच्छी पैदावार ले सकते हैं। कारनेशन के लिए उपयुक्त मिट्टी का चयन कैसे किया जाए व इसे गलाने का तरीका क्या है? कारनेशन की खेती के लिए बलुई-दोमट मिट्टी जिसका पी. मान 6 से 7 हो जिसमें वायु संचार व जल निकासी का उचित प्रबंध हो बहुत ही उपयुक्त होती है।"
कारनेशन की खेती में स्टेकिंग के लिए किन सामग्रियों का उपयोग किया जाता है?,"प्रति हेकटेयर देना बहुत जरूरी है। की पूरी मात्रा और यूरिया की आधी मात्रा खेत तैयार करते वक्त व यूरिया की आधी मात्रा पौधा लगाने के एक महीने बाद देनी चाहिए। कारनेशन में पिचिंग व स्टेकिंग जरुर करनी चाहिए तो हम जानना चाहेंगे कि पिचिंग व स्टेकिंग आखिर है क्या? कारनेशन की खेती में पिचिंग व स्टेकिंग का काफी महत्व है। पिंचिग यानि कि पौधों को लगाएँ के चार से पांच सप्ताह बाद जमीन से चार-पांच पत्तियाँ छोड़ने के बाद ऊपर से पौधे को नोंच दिया जाता है, इससे नीची गई जगह से कई टहनियां निकल आती हैं, जिससे कि पैदावार बढ़ जाती है। इन टहनियों को सीधा रखने के लिए स्टेकिंग यानि सहारे की जरूरत पड़ती है। स्केटिंग के ली हम सुतली, नायलोन की रस्सी या गैलवनाइज्ड मेटल वायर का इस्तेमाल करते हैं। यदि किसान भाई इन सारी बातों का अनुसरण करे तो वे कितना लाभ उठा सकते हैं? किसान बाही अगर इन सारी बातों को ठीक से अनुसरण करेंगे तो प्रति हेक्टेयर तकरीबन 7-8 रुपया का शुद्ध लाभ उठा सकते हैं।",Not in Top10,2,0.9965535998344421,0.6694372296333313,"गाजर के पौधे के समान दिखने वाला एक वर्षीय शाकीय पौधा जिसकी लम्बाई 1.0 से 1.5 मीटर तक हो सकती है। तना रोयेंदार एवं अत्याधिक शाखा युक्त होता है। एक पौधा 25000 तक बीज उत्पन्न कर सकता है, जो बहुत हल्के एवं पंख युक्त होते है। यह प्रकाश एवं तापक्रम के प्रति उदासीन होने के कारण पूरे वर्ष भर उगता एवं फलता-फूलता रहता है। जैव विविधता एवं पर्यावरण के लिए गंभीर खतरा पार्को, खेतों, रोड एवं रेलवे लाइनों के किनारों, सामुदायिक एवं परती भूमि पर कब्जा मनुष्य और जानवारों के स्वास्थ्य के लिए खतरा फसलों के उत्पादन को प्रभावित करना कैसे खत्म करें? देखते ही जड़ समेत उखाड़कर नष्ट करें पत्ती खाने वाले मैक्सिकन बीटल (जाइगोग्रामा बाइकोलोराटा) नाम के कीट शत्रु को इस पर छोड़े गाजरघास के साथ अन्य वनस्पतियों को भी नष्ट करने के लिए ग्लाइफोसेट (1.0 से 1.5 प्रतिशत) और घास कुल की वनस्पतियों को बचाते हुए केवल गाजरघास को नष्ट करने के लिए मेट्रीब्यूजिन (0.3 से 0.5 प्रतिशत) या 2,4-डी (1%) नाम के रसायनों का प्रयोग करें कम्पोस्ट एवं वर्मी कम्पोस्ट बनाने के लिए इसका प्रयोग करें।","कारनेशन के फूलों की खेती पुष्प जगत में कारनेशन के महत्व के बारे जानकारी क्या है ? फूलों में कारनेशन बहुत ही विशिष्ट स्थान रखता ही। इसकी कलमों व खूबसूरत कटे फूलों का व्यवसाय देश-विदेश में अच्छी तरह स्थापित है और व्यावसायिक स्तर पर अगर देखा जाए तो कारनेशन विश्व के 10 प्रमुखतम फूलों में एक है। हमारे देश में कारनेशन की व्यवसायिक खेती किन-जिन स्थानों की की जाती है व झारखण्ड में इसकी खेती की क्या संभावनाएं है? हमारे देश में कारनेशन को व्यवसायिक स्तर नासिक, पुणे, बैंगलोर, कोयम्बटूर, दिल्ल्ली, यू.पी. पंजाब, कश्मीर व् हिमाचल प्रदेश में उगाया जाता है। जहाँ तक प्रश्न है झारखण्ड में इसकी कहती की संभावनाओं का तो जलवायु की दृष्टि से खासतौर पर रांची के आसपास के इलाकों की उपोष्ण कारनेशन की सफलतापूर्वक खेती के लिए बहुत ही उपयुक्त है। इसकी उपयुक्त जलवायु के चलते किसान भाई चाहे तो कारनेशन की अच्छी पैदावार ले सकते हैं। कारनेशन के लिए उपयुक्त मिट्टी का चयन कैसे किया जाए व इसे गलाने का तरीका क्या है? कारनेशन की खेती के लिए बलुई-दोमट मिट्टी जिसका पी. मान 6 से 7 हो जिसमें वायु संचार व जल निकासी का उचित प्रबंध हो बहुत ही उपयुक्त होती है।"
कारनेशन की वैज्ञानिक खेती से प्रति हेक्टेयर कितना शुद्ध लाभ प्राप्त किया जा सकता है?,"प्रति हेकटेयर देना बहुत जरूरी है। की पूरी मात्रा और यूरिया की आधी मात्रा खेत तैयार करते वक्त व यूरिया की आधी मात्रा पौधा लगाने के एक महीने बाद देनी चाहिए। कारनेशन में पिचिंग व स्टेकिंग जरुर करनी चाहिए तो हम जानना चाहेंगे कि पिचिंग व स्टेकिंग आखिर है क्या? कारनेशन की खेती में पिचिंग व स्टेकिंग का काफी महत्व है। पिंचिग यानि कि पौधों को लगाएँ के चार से पांच सप्ताह बाद जमीन से चार-पांच पत्तियाँ छोड़ने के बाद ऊपर से पौधे को नोंच दिया जाता है, इससे नीची गई जगह से कई टहनियां निकल आती हैं, जिससे कि पैदावार बढ़ जाती है। इन टहनियों को सीधा रखने के लिए स्टेकिंग यानि सहारे की जरूरत पड़ती है। स्केटिंग के ली हम सुतली, नायलोन की रस्सी या गैलवनाइज्ड मेटल वायर का इस्तेमाल करते हैं। यदि किसान भाई इन सारी बातों का अनुसरण करे तो वे कितना लाभ उठा सकते हैं? किसान बाही अगर इन सारी बातों को ठीक से अनुसरण करेंगे तो प्रति हेक्टेयर तकरीबन 7-8 रुपया का शुद्ध लाभ उठा सकते हैं।",Not in Top10,3,0.9965013265609741,0.7224579453468323,जीरा मसाले वाली मुख्य बीजीय फसल हैl देश का 80 प्रतिशत से अधिक जीरा गुजरात व राजस्थान राज्य में उगाया जाता हैl राजस्थान में देश के कुल उत्पादन का लगभग 28 प्रतिशत जीरे का उत्पादन किया जाता है तथा राज्य के पश्चिमी क्षेत्र में कुल राज्य का 80 पतिशत जीरा पैदा होता है लेकिन इसकी औसत उपज (380 कि.ग्रा.प्रति हे.)पड़ौसी राज्य गुजरात (550कि.ग्रा.प्रति हे.)कि अपेक्षा काफी कम हैlउन्नत तकनीकों के प्रयोग द्वारा जीरे की वर्तमान उपज को 25-50 प्रतिशत तक बढ़ाया जा सकता हैl किस्में किस्म पकने की अवधि (दिनों में) औसत उपज(कु.,"कारनेशन के फूलों की खेती पुष्प जगत में कारनेशन के महत्व के बारे जानकारी क्या है ? फूलों में कारनेशन बहुत ही विशिष्ट स्थान रखता ही। इसकी कलमों व खूबसूरत कटे फूलों का व्यवसाय देश-विदेश में अच्छी तरह स्थापित है और व्यावसायिक स्तर पर अगर देखा जाए तो कारनेशन विश्व के 10 प्रमुखतम फूलों में एक है। हमारे देश में कारनेशन की व्यवसायिक खेती किन-जिन स्थानों की की जाती है व झारखण्ड में इसकी खेती की क्या संभावनाएं है? हमारे देश में कारनेशन को व्यवसायिक स्तर नासिक, पुणे, बैंगलोर, कोयम्बटूर, दिल्ल्ली, यू.पी. पंजाब, कश्मीर व् हिमाचल प्रदेश में उगाया जाता है। जहाँ तक प्रश्न है झारखण्ड में इसकी कहती की संभावनाओं का तो जलवायु की दृष्टि से खासतौर पर रांची के आसपास के इलाकों की उपोष्ण कारनेशन की सफलतापूर्वक खेती के लिए बहुत ही उपयुक्त है। इसकी उपयुक्त जलवायु के चलते किसान भाई चाहे तो कारनेशन की अच्छी पैदावार ले सकते हैं। कारनेशन के लिए उपयुक्त मिट्टी का चयन कैसे किया जाए व इसे गलाने का तरीका क्या है? कारनेशन की खेती के लिए बलुई-दोमट मिट्टी जिसका पी. मान 6 से 7 हो जिसमें वायु संचार व जल निकासी का उचित प्रबंध हो बहुत ही उपयुक्त होती है।"
ग्लेडियोलस की रोपाई के लिए किस व्यास के कंद उपयुक्त होते हैं?,"इसे लगाने का उचित समय सितम्बर-दिसम्बर है, परन्तु पानी की सुविधा होने पर हम अन्य समय भी भी लगा सकते हैं। 2-3 जुताई के बाद, दो ट्रोली गोबर खाद/एकड़ 150 किलोग्राम करंज खल्ली तथा 10 किलो चूना मिलाकर खेत को अच्छी तरह तैयार किया जाता है। साथ ही पाटा लगाने के पश्चात, मिट्टी को बराबर/एकसार का लिया जाता है। मिट्टी उपचार के लिए 10 किलोग्राम लिन्डेन पाउडर/एकड़ खेतों में डाला जाता है। रासायनिक खाद के रूप में यूरिया फोस्फोरस पोटाश (40:20:15) का मिश्रण खेतों में दिया जाता है। ग्लेडियोलस के किस अभाग को लगाया जाता है, इसकी दूरी क्या होनी चाहिए तथा बीजोपचार आवश्यक है या नहीं? ग्लेडियोलस की रोपाई कंदों से की जाती है जिन्हें कार्म कहा जाता है। लगाने के लिए 1.5-२.5 इंच व्यास के कंद उपयुक्त होते हैं। ये कंद प्याज की तरह दिखलाई पड़ते है। बीजोपचार इसमें आवश्यक है। छिलके उतारकर कंद को २ ग्राम प्रति लीटर बेविस्टीन के घोल में 15 मिनट तक डुबोयो जाता है तथा छाया में थोड़ी देर रखकर बनाई गई निर्धारित दुरी में लगा दिया जाता है। एक एकड़ में लगभग 60,000-70,000 कार्म लग जाते हैं। इसे समतल भूमि में , आलू एक समान मेढ़ बनाकर या 1 मी.",Not in Top10,1,0.9964014291763306,0.7878903150558472,"खराब कोकुन की छँटनी के बाद गुणवत्ता के आधार पर उसका श्रेणीकरण करें। ठंड के मौसम में कटाई के लिए एक दिन अधिक का समय दे। विपणन कोकुन को बाजार दिन के ठंडे समय में सातवें दिन ले जाएँ। कोकुन को 30-40 किलो ग्राम क्षमता वाले नॉयलॉन बैग में रख कर ढ़ीले से बाँधनी चाहिए और उसे ऐसी गाड़ी में ले जाना चाहिए जिसमें उसे रखने के लिए शेल्फ या दराज़ बने हों। कोकुन ऊपज़ 100 डीएफएलएस से 60-70 कि. ग्राम की औसत ऊपज़ होती है। एक साल में एक एकड़ मलबड़ी गार्डन में लगभग 700-900 किलो ग्राम कोकुन की फसल उगाई जा सकती है। नर्सरी में शहतूत की पैदावार की नई विधि शहतूत के पौधे छोटी अवस्था में कटिंग्स या फ्लैट बेड प्रणाली द्वारा वाणिज्यिक स्तर पर उत्पादित किए जाते हैं। अंकुरण की सफलता और पौध की ताक़त प्रतिस्पर्धी खरपतवार, मिट्टी की नमी, और मिट्टी के तापमान से काफी हद तक प्रभावित होती है।","इसे लगाने का उचित समय सितम्बर-दिसम्बर है, परन्तु पानी की सुविधा होने पर हम अन्य समय भी भी लगा सकते हैं। 2-3 जुताई के बाद, दो ट्रोली गोबर खाद/एकड़ 150 किलोग्राम करंज खल्ली तथा 10 किलो चूना मिलाकर खेत को अच्छी तरह तैयार किया जाता है। साथ ही पाटा लगाने के पश्चात, मिट्टी को बराबर/एकसार का लिया जाता है। मिट्टी उपचार के लिए 10 किलोग्राम लिन्डेन पाउडर/एकड़ खेतों में डाला जाता है। रासायनिक खाद के रूप में यूरिया फोस्फोरस पोटाश (40:20:15) का मिश्रण खेतों में दिया जाता है। ग्लेडियोलस के किस अभाग को लगाया जाता है, इसकी दूरी क्या होनी चाहिए तथा बीजोपचार आवश्यक है या नहीं? ग्लेडियोलस की रोपाई कंदों से की जाती है जिन्हें कार्म कहा जाता है। लगाने के लिए 1.5-२.5 इंच व्यास के कंद उपयुक्त होते हैं। ये कंद प्याज की तरह दिखलाई पड़ते है। बीजोपचार इसमें आवश्यक है। छिलके उतारकर कंद को २ ग्राम प्रति लीटर बेविस्टीन के घोल में 15 मिनट तक डुबोयो जाता है तथा छाया में थोड़ी देर रखकर बनाई गई निर्धारित दुरी में लगा दिया जाता है। एक एकड़ में लगभग 60,000-70,000 कार्म लग जाते हैं। इसे समतल भूमि में , आलू एक समान मेढ़ बनाकर या 1 मी."
ग्लेडियोलस की खेती के लिए मिट्टी को कैसे तैयार किया जाता है और कौन सी खादें डाली जाती हैं?,"इसे लगाने का उचित समय सितम्बर-दिसम्बर है, परन्तु पानी की सुविधा होने पर हम अन्य समय भी भी लगा सकते हैं। 2-3 जुताई के बाद, दो ट्रोली गोबर खाद/एकड़ 150 किलोग्राम करंज खल्ली तथा 10 किलो चूना मिलाकर खेत को अच्छी तरह तैयार किया जाता है। साथ ही पाटा लगाने के पश्चात, मिट्टी को बराबर/एकसार का लिया जाता है। मिट्टी उपचार के लिए 10 किलोग्राम लिन्डेन पाउडर/एकड़ खेतों में डाला जाता है। रासायनिक खाद के रूप में यूरिया फोस्फोरस पोटाश (40:20:15) का मिश्रण खेतों में दिया जाता है। ग्लेडियोलस के किस अभाग को लगाया जाता है, इसकी दूरी क्या होनी चाहिए तथा बीजोपचार आवश्यक है या नहीं? ग्लेडियोलस की रोपाई कंदों से की जाती है जिन्हें कार्म कहा जाता है। लगाने के लिए 1.5-२.5 इंच व्यास के कंद उपयुक्त होते हैं। ये कंद प्याज की तरह दिखलाई पड़ते है। बीजोपचार इसमें आवश्यक है। छिलके उतारकर कंद को २ ग्राम प्रति लीटर बेविस्टीन के घोल में 15 मिनट तक डुबोयो जाता है तथा छाया में थोड़ी देर रखकर बनाई गई निर्धारित दुरी में लगा दिया जाता है। एक एकड़ में लगभग 60,000-70,000 कार्म लग जाते हैं। इसे समतल भूमि में , आलू एक समान मेढ़ बनाकर या 1 मी.",5,1,0.996562123298645,0.7708033323287964,"केंचुआ खाद तैयार करने के लिए कौन-कौन प्रजातियाँ प्रयोग में लायी जाती है? विश्व के विभिन्न भागों में 4500 प्रजातियाँ बताई जा चुकी है। आज केंचुए की कुछ प्रजातियाँ विकसित कर ली गई है, जिनको पाकर किसान प्रतिदिन के कूड़ा-करकट को एक अच्छी खाद “वर्मी कम्पोस्ट” में बदल सकते है। दो प्रजातियाँ सबसे उपयोगी पाई गई, जिनका नाम ऐसीनिया फोटिडा (लाल केंचुआ) तथा युड्रिलय युजीनी (भूरा गुलाबी केंचुआ) है। केंचुआ खाद में विभिन्न तत्वों की मात्रा केंचुआ की खाद एक उच्च पौष्टिक तत्व वाली खाद होती है। केंचुआ खाद दो नाइट्रोजन (1.2 से 1.4 प्रतिशत), फास्फोरस (0.4 से 0.6 प्रतिशत) तथा पोटाश (1.5 से 1.8 प्रतिशत) के अलावा सूक्ष्म पोषक तत्व भी उपलब्ध होते है। केंचुए की गतिविधियों से निकलने वाला अवशिष्ट पदार्थ प्राकृतिक तत्व से मिश्रित होने के कारण यह खाद अधिक उपजाऊ हो जाती है। केंचुए खाद निर्माण कैसे करें? केंचुए की खाद बनाने की विधि बहुत ही सरल तथा सस्ती है। इससे बेरोजगार नवयुवक काफी पैसा कमा सकते हैं। औद्योगिक स्तर पर केंचुआ खाद तैयार करने की निम्नलिखित दो विधियां हैं। विंडरोज विधि मोड्युलर विधि चूँकि “मोड्यूलर विधि” में एक बना हुआ बक्सा खरीदने की जरूरत पड़ती है।","इसे लगाने का उचित समय सितम्बर-दिसम्बर है, परन्तु पानी की सुविधा होने पर हम अन्य समय भी भी लगा सकते हैं। 2-3 जुताई के बाद, दो ट्रोली गोबर खाद/एकड़ 150 किलोग्राम करंज खल्ली तथा 10 किलो चूना मिलाकर खेत को अच्छी तरह तैयार किया जाता है। साथ ही पाटा लगाने के पश्चात, मिट्टी को बराबर/एकसार का लिया जाता है। मिट्टी उपचार के लिए 10 किलोग्राम लिन्डेन पाउडर/एकड़ खेतों में डाला जाता है। रासायनिक खाद के रूप में यूरिया फोस्फोरस पोटाश (40:20:15) का मिश्रण खेतों में दिया जाता है। ग्लेडियोलस के किस अभाग को लगाया जाता है, इसकी दूरी क्या होनी चाहिए तथा बीजोपचार आवश्यक है या नहीं? ग्लेडियोलस की रोपाई कंदों से की जाती है जिन्हें कार्म कहा जाता है। लगाने के लिए 1.5-२.5 इंच व्यास के कंद उपयुक्त होते हैं। ये कंद प्याज की तरह दिखलाई पड़ते है। बीजोपचार इसमें आवश्यक है। छिलके उतारकर कंद को २ ग्राम प्रति लीटर बेविस्टीन के घोल में 15 मिनट तक डुबोयो जाता है तथा छाया में थोड़ी देर रखकर बनाई गई निर्धारित दुरी में लगा दिया जाता है। एक एकड़ में लगभग 60,000-70,000 कार्म लग जाते हैं। इसे समतल भूमि में , आलू एक समान मेढ़ बनाकर या 1 मी."
